Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_330:0000324,TbYldNAj_Cp_tha,TTYNA,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000327,MkbYldAj_Cp_tha,MTYA,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000330,MkYldNAj_Cp_tha,MTYNA,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000333,AvTbWg_Cp_g,ATW or MWT,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000336,AvTrWg_Cp_g,ATMW or MWMT,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000340,NumStn_Et_1to9,Num_Stolon,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000344,LgStn_Et_1to9,Leng_Stolon,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000348,TubApp_Et_1to9,Tuber_Apper,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000352,TubUni_Et_1to9,Tub_Unif,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000356,TubSiz_Et_1to9,Tub_Size,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000359,LBSv_Et_pct,LB,Evaluation in Breeding Trials,from full emergence until starting of senescense,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000363,LB_AUDPC_Cp,AUDPC,Evaluation in Breeding Trials,from full emergence until starting of senescense,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000367,LB_rAUDPC_Cp,"rAUDPC, RAUDPC",Evaluation in Breeding Trials,from full emergence until starting of senescense,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000371,LB_SAUDPC_Cp,SAUDPC,Evaluation in Breeding Trials,from full emergence until starting of senescense,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000372,RLb_Et_1to6,LB,Evaluation in Breeding Trials,from full emergence until starting of senescense,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000373,RPvx_Et_1to7,PVX,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000374,RPvy_Et_1to7,PVY,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000375,RPrlv_Et_1to6,PRLV,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000376,RBw_Et_1to6,BW,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000377,RRkn_Et_1to7,RKN,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000378,RLmf_Et_1to5,LMF,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000379,Flavor_Et_1to5,FLAVOUR,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2016-04-04 00:00:00,EN,Potato
CO_330:0000380,Textac_Et_1to5,TEXTAC,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2016-04-04 00:00:00,EN,Potato
CO_330:0000381,Cookqu_Et_1to7,COOKQU,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2016-04-04 00:00:00,EN,Potato
CO_330:0000382,Afcdar_Et_1to4,AFCDAR,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2016-04-04 00:00:00,EN,Potato
CO_330:0000383,Flcac_Et_1to8,FLCAC,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2016-04-04 00:00:00,EN,Potato
CO_330:0000384,Chipping_Et_1to5,CHIPPING,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2016-04-04 00:00:00,EN,Potato
CO_330:0000388,Ffr_Et_1to5,FFR,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000389,Cootime_Et_1to5,COOTIME,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2016-04-04 00:00:00,EN,Potato
CO_330:0000390,Tdm_Cp,"PDM, DM",Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000394,Sg_Cp,SG,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000395,Aocp_Cp,AOCP,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000396,GGroperl_Et_1to3,GROPER,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000397,DoPeriod_Ms,DORPD,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000398,Sppt_1to3,SPPATT,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000399,Reht_Et_1to4,HEAT,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000400,ReSl_Et_1to4,SAL,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000401,PollV_Et_1to7,POLLENV,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000402,Fedw_Ms_mgkg_DW,FeDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000404,Fedw_Ms_mgkg_DW_XRF,FeDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000407,Fe_Cp_mg100g_FW,FeFW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000408,Zndw_Ms_mgkg_DW,ZNDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000409,Zndw_Ms_mgkg_DW_XRF,ZNDW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
CO_330:0000412,Zn_Cp_mg100g_FW,ZnFW,Evaluation in Breeding Trials,Postharvest,Recommended,,CIP,Breeders,2017-11-09 00:00:00,EN,Potato
